"x_","y_","t_","id"
680727.778721825,-2684307.1722976,2016-08-04 05:11:00,"ID2"
680691.17232566,-2684200.80929172,2016-08-04 05:50:00,"ID2"
680830.156451326,-2684357.27056474,2016-08-04 06:30:00,"ID2"
680832.216206277,-2684353.95579581,2016-08-04 07:02:00,"ID2"
680939.993301232,-2684347.61925727,2016-08-04 08:02:00,"ID2"
680939.11206757,-2684347.06333415,2016-08-04 09:02:00,"ID2"
680941.131352601,-2684347.99142906,2016-08-04 10:02:00,"ID2"
686097.72689322,-2687911.58023991,2016-08-04 11:02:00,"ID2"
700443.640872502,-2706743.46514845,2016-08-04 12:02:00,"ID2"
726075.637674332,-2713061.09104303,2016-08-04 13:02:00,"ID2"
726077.009247729,-2713073.66347455,2016-08-04 14:02:00,"ID2"
726071.725782196,-2713066.60377764,2016-08-04 15:02:00,"ID2"
726068.458904658,-2713062.17430777,2016-08-05 04:35:00,"ID2"
726070.499037748,-2713065.4951742,2016-08-05 05:13:00,"ID2"
726067.473811027,-2713048.91246588,2016-08-05 05:51:00,"ID2"
726076.662737034,-2713061.09413313,2016-08-05 06:28:00,"ID2"
726074.575972982,-2713073.24179997,2016-08-05 07:00:00,"ID2"
725514.918393947,-2713014.10016942,2016-08-05 08:00:00,"ID2"
736588.866883098,-2712361.54908571,2016-08-05 09:00:00,"ID2"
743447.392194375,-2737348.34235168,2016-08-05 10:00:00,"ID2"
753532.181654279,-2765807.23366843,2016-08-05 11:00:00,"ID2"
720663.154057713,-2786388.17880061,2016-08-05 12:00:00,"ID2"
724522.344957076,-2802752.1332209,2016-08-05 13:00:00,"ID2"
740260.510835556,-2804769.64340153,2016-08-05 14:00:00,"ID2"
740115.366469591,-2802652.35033377,2016-08-05 15:00:00,"ID2"
740117.425963625,-2802649.06087771,2016-08-06 04:24:00,"ID2"
740109.299050396,-2802649.89907794,2016-08-06 05:24:00,"ID2"
740117.415832408,-2802652.35663352,2016-08-06 06:20:00,"ID2"
740115.369846654,-2802651.25174859,2016-08-06 07:21:00,"ID2"
730428.563164652,-2826424.97534589,2016-08-06 08:21:00,"ID2"
718982.642880828,-2835764.77281116,2016-08-06 09:21:00,"ID2"
718960.356875504,-2835826.71917473,2016-08-06 10:21:00,"ID2"
718899.884249183,-2835687.79213746,2016-08-06 11:21:00,"ID2"
718978.547992782,-2835763.66439085,2016-08-06 12:21:00,"ID2"
718976.51855508,-2835757.08118599,2016-08-06 13:21:00,"ID2"
719030.756994049,-2835778.07079372,2016-08-06 14:21:00,"ID2"
719067.957951413,-2835786.22062991,2016-08-06 15:21:00,"ID2"
718984.701783542,-2835761.49038912,2016-08-07 04:36:00,"ID2"
718973.480946068,-2835745.01400956,2016-08-07 05:36:00,"ID2"
718999.722557086,-2835763.48403455,2016-08-07 06:36:00,"ID2"
719091.305839916,-2835744.45244223,2016-08-07 07:36:00,"ID2"
718969.330402234,-2835762.54067108,2016-08-07 08:36:00,"ID2"
718971.376209365,-2835763.64297146,2016-08-07 09:36:00,"ID2"
718891.573350077,-2835726.1341263,2016-08-07 10:36:00,"ID2"
719051.090785928,-2835659.19451408,2016-08-07 11:36:00,"ID2"
718933.006703806,-2835689.35264795,2016-08-07 12:36:00,"ID2"
718931.643377474,-2835688.43507992,2016-08-07 13:36:00,"ID2"
718939.225634201,-2835688.23848477,2016-08-07 14:36:00,"ID2"
718969.11760276,-2835833.7922462,2016-08-08 04:51:00,"ID2"
718965.025989625,-2835831.58765556,2016-08-08 05:52:00,"ID2"
718974.227208295,-2835838.19224692,2016-08-08 06:39:00,"ID2"
719066.599537554,-2835783.65879839,2016-08-08 07:33:00,"ID2"
718456.007328983,-2836457.0729237,2016-08-08 08:31:00,"ID2"
725268.42651984,-2852030.21355917,2016-08-08 09:05:00,"ID2"
720554.2978182,-2862804.449786,2016-08-08 10:05:00,"ID2"
